iter	Passed	Remaining
406	5978	1366
407	6010	1355
408	6029	1341
409	6044	1326
410	6051	1310
411	6057	1293
412	6063	1277
413	6070	1261
414	6085	1246
415	6102	1232
416	6113	1216
417	6120	1200
418	6125	1184
419	6133	1168
420	6143	1152
421	6156	1137
422	6169	1123
423	6179	1107
424	6185	1091
425	6192	1075
426	6208	1061
427	6223	1046
428	6236	1032
429	6246	1016
430	6275	1004
431	6371	1002
432	6393	989
433	6403	973
434	6409	957
435	6415	941
436	6420	925
437	6460	914
438	6491	901
439	6506	887
440	6515	871
441	6521	855
442	6538	841
443	6575	829
444	6594	815
445	6600	799
446	6606	783
447	6611	767
448	6624	752
449	6637	737
450	6643	721
451	6649	706
452	6654	690
453	6667	675
454	6746	667
455	6761	652
456	6777	637
457	6784	622
458	6789	606
459	6796	590
460	6802	575
461	6884	566
462	6904	551
463	6912	536
464	6917	520
465	6922	505
466	6927	489
467	6933	474
468	6939	458
469	6945	443
470	6950	427
471	6954	412
472	6959	397
473	6964	382
474	6970	366
475	6975	351
476	6981	336
477	6986	321
478	6991	306
479	6996	291
480	7008	276
481	7025	262
482	7041	247
483	7046	232
484	7052	218
485	7056	203
486	7062	188
487	7080	174
488	7098	159
489	7114	145
490	7127	130
491	7145	116
492	7151	101
493	7171	87
494	7187	72
495	7199	58
496	7204	43
497	7211	28
498	7216	14
499	7223	0
499	6927	0
02	38
498	9608	19
499	9612	0
