iter	Passed	Remaining
0	92	9182
1	145	7105
2	194	6300
3	253	6074
4	301	5720
5	351	5510
6	401	5338
7	444	5116
8	497	5029
9	560	5041
10	608	4923
11	653	4795
12	695	4656
13	742	4559
14	789	4472
15	836	4389
16	878	4286
17	922	4200
18	966	4119
19	1028	4112
20	1094	4116
21	1145	4060
22	1196	4006
23	1243	3936
24	1281	3844
25	1324	3770
26	1366	3694
27	1405	3613
28	1447	3543
29	1490	3476
30	1528	3402
31	1570	3336
32	1610	3269
33	1644	3191
34	1677	3114
35	1714	3047
36	1757	2991
