iter	Logloss
0	0.6796132544
1	0.6677008607
2	0.6559105236
3	0.6463897864
4	0.6376715
5	0.6290198487
6	0.6209088687
7	0.6175987269
8	0.6138048472
9	0.6102823666
10	0.6051563614
11	0.6000201656
12	0.596451012
13	0.5944582901
14	0.5924512427
15	0.5904465685
16	0.5886551494
17	0.5870702235
18	0.5850695309
19	0.5835813658
20	0.5821801806
21	0.5810324581
22	0.580343135
23	0.5792811217
24	0.5783870624
25	0.5772634083
26	0.5753648811
27	0.5747906519
28	0.5738776729
29	0.5726990602
30	0.5720442348
31	0.5711562707
32	0.5698610477
33	0.5690544756
34	0.568532386
35	0.5672849047
36	0.5665870801
37	0.5662260522
38	0.5657517515
39	0.5650883846
40	0.5647393193
41	0.5643658101
42	0.5634364726
43	0.5627994536
44	0.5621148206
45	0.5617837801
46	0.5614683524
47	0.561054031
48	0.560851216
49	0.5604867607
50	0.5599818686
51	0.5595678791
52	0.5592676512
53	0.5586846097
54	0.5583530888
55	0.5580667361
56	0.5576626711
57	0.5574782629
58	0.5571944347
59	0.5569098
60	0.5560663867
61	0.5557701404
62	0.5551235507
63	0.5549123332
64	0.5546976864
65	0.554568223
66	0.5543836387
67	0.5541435978
68	0.5538641696
69	0.5534625883
70	0.5532790529
71	0.5530414839
72	0.552922282
73	0.5527061718
74	0.5524903221
75	0.5519819439
76	0.5511337554
77	0.5509698259
78	0.5508048596
79	0.5505738492
80	0.5503069478
81	0.5498184225
82	0.54973557
83	0.5495849683
84	0.5493662824
85	0.549239425
86	0.5491275022
87	0.5489950039
88	0.5488183812
89	0.5486367296
90	0.5485238191
91	0.5483775931
92	0.5482914768
93	0.5481356062
94	0.5478946735
95	0.5476938723
96	0.5475470435
97	0.5473791493
98	0.5472253837
99	0.5469906904
100	0.5468148905
101	0.5466810105
102	0.5465886459
103	0.5463991973
104	0.5462903082
105	0.5461550274
106	0.5460295488
107	0.545924824
108	0.5457599442
109	0.5455608223
110	0.5454980511
111	0.5453647083
112	0.5448989159
113	0.5447779473
114	0.544665443
115	0.5444935564
116	0.5443679565
117	0.5441058428
118	0.5439800922
119	0.5438644314
120	0.5437196689
121	0.5434965669
122	0.5433265856
123	0.5431820414
124	0.5430667141
125	0.5429034648
126	0.5427667689
127	0.5426246906
128	0.542199669
129	0.5420560151
130	0.5419557828
131	0.5418065002
132	0.5417065895
133	0.5415357995
134	0.5414426009
135	0.5409554088
136	0.5408645805
137	0.5406595559
138	0.5405126026
139	0.5404200306
140	0.5402601108
141	0.5401350911
142	0.5399667565
143	0.5398650757
144	0.5397633216
145	0.5396697096
146	0.5395492129
147	0.5393976896
148	0.5392978335
149	0.5391080219
150	0.5389343272
151	0.5388072085
152	0.5386870723
153	0.5385913455
154	0.5383895422
155	0.538276449
156	0.5381395939
157	0.53803184
158	0.5378988878
159	0.5377951482
160	0.5377303966
161	0.537619726
162	0.5375298006
163	0.5373765642
164	0.5371249239
165	0.5369770409
166	0.536856403
167	0.5367035778
168	0.5365833235
169	0.5365319002
170	0.5364472637
171	0.536350845
172	0.5362510127
173	0.5361935176
174	0.5360901536
175	0.5359889157
176	0.5359368247
177	0.5358194878
178	0.5356572956
179	0.5355877972
180	0.5355018042
181	0.535335763
182	0.5352593027
183	0.5351222991
184	0.5349845359
185	0.534504953
186	0.5344553681
187	0.5344112531
188	0.5342960638
189	0.5342072494
190	0.5341163312
191	0.533990223
192	0.5338893024
193	0.5337588721
194	0.5337174746
195	0.5336242175
196	0.5335254577
197	0.5334253966
198	0.5332353389
199	0.5331698554
200	0.5330643951
201	0.533022065
202	0.5329757109
203	0.5326555347
204	0.5325483525
205	0.5324536236
206	0.5323004531
207	0.532220479
208	0.5321427029
209	0.5320215079
210	0.5319760655
211	0.5318980194
212	0.5318040206
213	0.5316240561
214	0.5315287926
215	0.5314151492
216	0.5312165517
217	0.5311533907
218	0.5310371381
219	0.5309078462
220	0.5308085333
221	0.5307261656
222	0.5306755849
223	0.5306567091
224	0.5306006366
225	0.530487798
226	0.530373365
227	0.5302645274
228	0.5302036527
229	0.5300874654
230	0.5299685998
231	0.5298749512
232	0.5296496489
233	0.5295943854
234	0.5294678995
235	0.5293712878
236	0.5292953212
237	0.5292218476
238	0.5291338829
239	0.5291136097
240	0.5289639081
241	0.5288940617
242	0.5288180044
243	0.5287836201
244	0.5286970636
245	0.528620349
246	0.5285264969
