iter	Passed	Remaining
0	3	75
1	12	114
2	13	77
3	14	58
4	15	47
5	17	39
6	20	37
7	24	36
8	26	32
9	27	27
10	28	23
11	29	19
12	30	16
13	31	13
14	32	10
15	33	8
16	34	6
17	34	3
18	36	1
19	37	0
